GameID,Round,WinningTeam,W1Q,W2Q,W3Q,W4Q,WinningTotal,WinningMargin,LosingTeam,L1Q,L2Q,L3Q,L4Q,LosingTotal,LosingMargin,WLead1Q,WLead2Q,WLead3Q,WLead4Q
1,1,Geelong,8,12,2,2,24,1,Collingwood,9,0,14,0,23,-1,-1,12,-12,2
2,1,Bulldogs,2,13,1,2,18,1,Crows,7,6,3,1,17,-1,-5,7,0,1
3,1,North Melbourne,10,22,13,7,52,36,Carlton,8,0,6,2,16,-36,2,22,7,5
4,1,Fremantle,19,21,0,19,59,4,Melbourne,14,6,34,1,55,-4,5,15,-34,18
5,1,Brisbane,1,7,19,2,29,2,GWS,8,7,6,6,27,-2,-7,0,13,-4
6,2,North Melbourne,14,6,8,20,48,25,GWS,8,4,8,3,23,-25,6,2,0,17
7,2,Melbourne,2,14,1,9,26,17,Collingwood,2,0,0,7,9,-17,0,14,1,2
8,2,Bulldogs,6,18,6,4,34,18,Geelong,8,0,8,0,16,-18,-2,18,-2,4
9,2,Crows,14,0,24,19,57,13,Carlton,12,6,19,7,44,-13,2,-6,5,12
10,2,Fremantle,8,21,12,26,67,27,Brisbane,19,0,8,13,40,-27,-11,21,4,13
11,3,Carlton,14,26,12,13,65,29,GWS,7,13,14,2,36,-29,7,13,-2,11
12,3,Fremantle,13,20,11,7,51,33,Collingwood,1,1,8,8,18,-33,12,19,3,-1
13,3,Adelaide,14,26,7,19,66,29,Geelong,6,6,12,13,37,-29,8,20,-5,6
14,3,Melbourne,13,34,6,7,60,39,Brisbane,7,0,8,6,21,-39,6,34,-2,1
15,4,Geelong,6,10,0,3,19,5,Carlton,0,2,10,2,14,-5,6,8,-10,1
16,4,Brisbane,7,16,8,18,49,32,Bulldogs,2,0,7,8,17,-32,5,16,1,10
17,4,Crows,9,14,9,33,65,42,Fremantle,6,14,0,3,23,-42,3,0,9,30
18,4,GWS,26,1,9,0,36,9,Collingwood,0,13,0,14,27,-9,26,-12,9,-14
19,4,North Melbourne,7,18,6,7,38,4,Melbourne,6,9,13,6,34,-4,1,9,-7,1
20,5,Geelong,7,6,14,8,35,27,Brisbane,1,6,1,0,8,-27,6,0,13,8
21,5,Carlton,11,1,7,15,34,5,Collingwood,0,16,13,0,29,-5,11,-15,-6,15
22,5,Melbourne,8,17,8,24,57,39,GWS,8,1,8,1,18,-39,0,16,0,23
23,5,Adelaide,18,13,8,25,64,35,North Melbourne,13,8,6,2,29,-35,5,5,2,23
24,5,Fremantle,13,7,12,20,52,18,Bulldogs,1,18,7,8,34,-18,12,-11,5,12
25,6,Fremantle,1,13,9,26,49,36,Geelong,7,6,0,0,13,-36,-6,7,9,26
26,6,North Melbourne,14,16,20,3,53,22,Collingwood,12,6,1,12,31,-22,2,10,19,-9
27,6,Melbourne,11,7,13,8,39,1,Bulldogs,0,24,8,6,38,-1,11,-17,5,2
28,6,Adelaide,18,15,1,25,59,32,GWS,13,13,0,1,27,-32,5,2,1,24
29,6,Carlton,8,9,19,7,43,16,Brisbane,12,2,6,7,27,-16,-4,7,13,0
30,7,Adelaide,21,13,20,14,68,60,Melbourne,0,0,1,7,8,-60,21,13,19,7
31,7,GWS,13,2,12,14,41,31,Geelong,1,1,8,0,10,-31,12,1,4,14
32,7,Fremantle,13,13,8,18,52,27,North Melbourne,0,7,12,6,25,-27,13,6,-4,12
33,7,Collingwood,9,14,1,1,25,6,Brisbane,6,1,9,3,19,-6,3,13,-8,-2
34,7,Carlton,20,12,3,6,41,3,Bulldogs,2,5,0,31,38,-3,18,7,3,-25
35,8,Carlton,11,26,13,14,64,36,Fremantle,7,1,6,14,28,-36,4,25,7,0
36,8,Adelaide,14,14,20,25,73,66,Geelong,0,0,0,7,7,-66,14,14,20,18
37,9,Adelaide,18,38,6,1,63,45,Carlton,9,7,1,1,18,-45,9,31,5,0
